Country Name	Country Code	2023 [YR2023] - Access to electricity (% of population) [EG.ELC.ACCS.ZS]	2023 [YR2023] - Adjusted net national income (constant 2015 US$) [NY.ADJ.NNTY.KD]	2023 [YR2023] - Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD]	2023 [YR2023] - Age dependency ratio, old (% of working-age population) [SP.POP.DPND.OL]	2023 [YR2023] - Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]	2023 [YR2023] - Agricultural land (% of land area) [AG.LND.AGRI.ZS]	2023 [YR2023] - Agricultural land (sq. km) [AG.LND.AGRI.K2]	2023 [YR2023] - Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]	2023 [YR2023] - Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS]	2023 [YR2023] - Armed forces personnel, total [MS.MIL.TOTL.P1]	2023 [YR2023] - Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]	2023 [YR2023] - Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS]	2023 [YR2023] - Compulsory education, duration (years) [SE.COM.DURS]	2023 [YR2023] - Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot]	2023 [YR2023] - Crop production index (2014-2016 = 100) [AG.PRD.CROP.XD]	2023 [YR2023] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]	2023 [YR2023] - Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD]	2023 [YR2023] - Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]	2023 [YR2023] - Ease of doing business rank (1=most business-friendly regulations) [IC.BUS.EASE.XQ]	2023 [YR2023] - Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC]	2023 [YR2023] - Electricity production from coal sources (% of total) [EG.ELC.COAL.ZS]	2023 [YR2023] - Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS]	2023 [YR2023] - Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS]	2023 [YR2023] - Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]	2023 [YR2023] - Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE]	2023 [YR2023] - Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP) [EG.USE.COMM.GD.PP.KD]	2023 [YR2023] - Expense (% of GDP) [GC.XPN.TOTL.GD.ZS]	2023 [YR2023] - Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]	2023 [YR2023] - Fertilizer consumption (kilograms per hectare of arable land) [AG.CON.FERT.ZS]	2023 [YR2023] - Gini index [SI.POV.GINI]	2023 [YR2023] - Government Effectiveness: Estimate [GE.EST]	2023 [YR2023] - Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24) [SH.HIV.INCD.YG.P3]	2023 [YR2023] - Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49) [SH.HIV.INCD.ZS]	2023 [YR2023] - Incidence of HIV, all (per 1,000 uninfected population) [SH.HIV.INCD.TL.P3]	2023 [YR2023] - Incidence of malaria (per 1,000 population at risk) [SH.MLR.INCD.P3]	2023 [YR2023] - Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]	2023 [YR2023] - Income share held by highest 10% [SI.DST.10TH.10]	2023 [YR2023] - Income share held by lowest 10% [SI.DST.FRST.10]	2023 [YR2023] - Individuals using the Internet (% of population) [IT.NET.USER.ZS]	2023 [YR2023] - Individuals using the Internet, female (% of female population) [IT.NET.USER.FE.ZS]	2023 [YR2023] - Individuals using the Internet, male (% of male population) [IT.NET.USER.MA.ZS]	2023 [YR2023] - Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]	2023 [YR2023] - Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]	2023 [YR2023] - Labor force, total [SL.TLF.TOTL.IN]	2023 [YR2023] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]	2023 [YR2023] - Livestock production index (2014-2016 = 100) [AG.PRD.LVSK.XD]	2023 [YR2023] - Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]	2023 [YR2023] - Military expenditure (% of general government expenditure) [MS.MIL.XPND.ZS]	2023 [YR2023] - New businesses registered (number) [IC.BUS.NREG]	2023 [YR2023] - Number of infant deaths [SH.DTH.IMRT]	2023 [YR2023] - Number of neonatal deaths [SH.DTH.NMRT]	2023 [YR2023] - Number of maternal deaths [SH.MMR.DTHS]	2023 [YR2023] - People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS]	2023 [YR2023] - Physicians (per 1,000 people) [SH.MED.PHYS.ZS]	2023 [YR2023] - PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]	2023 [YR2023] - PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) [EN.ATM.PM25.MC.ZS]	2023 [YR2023] - Population growth (annual %) [SP.POP.GROW]	2023 [YR2023] - Population density (people per sq. km of land area) [EN.POP.DNST]	2023 [YR2023] - Population ages 65 and above, total [SP.POP.65UP.TO]	2023 [YR2023] - Population ages 15-64, total [SP.POP.1564.TO]	2023 [YR2023] - Population ages 15-64, male [SP.POP.1564.MA.IN]	2023 [YR2023] - Population ages 15-64, female [SP.POP.1564.FE.IN]	2023 [YR2023] - Population ages 0-14, total [SP.POP.0014.TO]	2023 [YR2023] - Population ages 0-14, male [SP.POP.0014.MA.IN]	2023 [YR2023] - Population ages 0-14, female [SP.POP.0014.FE.IN]	2023 [YR2023] - Population ages 65 and above, male [SP.POP.65UP.MA.IN]	2023 [YR2023] - Population ages 65 and above, female [SP.POP.65UP.FE.IN]	2023 [YR2023] - Population in largest city [EN.URB.LCTY]	2023 [YR2023] - Population, total [SP.POP.TOTL]	2023 [YR2023] - Population, male [SP.POP.TOTL.MA.IN]	2023 [YR2023] - Population, female [SP.POP.TOTL.FE.IN]	2023 [YR2023] - Pupil-teacher ratio, primary [SE.PRM.ENRL.TC.ZS]	2023 [YR2023] - Pupil-teacher ratio, secondary [SE.SEC.ENRL.TC.ZS]	2023 [YR2023] - Pupil-teacher ratio, tertiary [SE.TER.ENRL.TC.ZS]	2023 [YR2023] - Rail lines (total route-km) [IS.RRS.TOTL.KM]	2023 [YR2023] - Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]	2023 [YR2023] - Railways, goods transported (million ton-km) [IS.RRS.GOOD.MT.K6]	2023 [YR2023] - Rural population [SP.RUR.TOTL]	2023 [YR2023] - Surface area (sq. km) [AG.SRF.TOTL.K2]	2023 [YR2023] - Urban population [SP.URB.TOTL]
Denmark	DNK	..	..	..	32.7140656503572	25.1791745941391	..	..	1.03474387908924	..	..	..	..	10	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	2.01564884185791	..	..	..	..	..	..	..	98.7756	98.6854	98.8653	3.30517811237606	47.2948462103378	3179505	..	..	..	..	..	..	..	..	..	..	..	..	0.741185515720057	..	1232155	3766438	1903050	1863388	948358	486838	461520	569053	663102	1381005	5946952	2958942	2988010	..	..	..	..	..	..	684197	..	5262755
Djibouti	DJI	..	..	..	7.02769939905658	45.9618056303444	..	..	1.76004578990614	..	..	..	..	10	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-0.731475412845612	..	..	..	..	..	..	..	..	..	..	1.49506816515088	29.2897278176895	255564	..	..	..	..	..	..	..	..	..	..	..	..	1.38273344206501	..	52204	742832	367842	374989	341419	172686	168733	23296	28908	599504	1136455	563824	572630	..	..	..	..	..	..	243747	..	892708
Dominica	DMA	..	..	..	13.8709989362731	27.3900009670245	..	..	14.7962939890587	..	..	..	..	12	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.260825008153915	..	..	..	..	..	..	..	..	..	..	3.48115800447626	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.415704036089014	..	7172	51705	25896	25809	14162	7189	6973	3196	3976	..	73040	36282	36758	..	..	..	..	..	..	20447	..	52593
Dominican Republic	DOM	..	..	..	11.7169689564167	40.9610941438462	..	..	6.3668923231164	..	..	..	..	15	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.12803441286087	..	..	..	..	..	..	..	..	..	..	4.78561281021135	40.6335027862496	5301571	..	..	..	..	..	..	..	..	..	..	..	..	0.923257649090989	..	869726	7422790	3734046	3688744	3040456	1549620	1490836	399757	469970	3523890	11332972	5683423	5649550	..	..	..	..	..	..	1762730	..	9570242
Ecuador	ECU	..	..	..	12.1189899536879	37.9469333495687	..	..	7.67737671642516	..	..	..	..	15	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	44.6	-0.494244992733002	..	..	..	..	..	33.2	1.6	72.6943	72.9855	72.3919	2.21568764237058	41.025979232132	8893065	..	..	..	..	..	..	..	..	..	..	..	..	1.04712882938642	..	1469023	12121662	6068112	6053551	4599799	2347789	2252011	662618	806404	3142466	18190484	9078518	9111966	..	..	..	..	..	..	6404506	..	11785978
"Egypt, Arab Rep."	EGY	..	..	..	7.86232375069936	52.2222992623529	..	..	10.6003111645036	..	..	..	..	12	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-0.239516973495483	..	..	..	..	..	..	..	..	..	..	33.8847763115546	18.5981895198186	33430910	..	..	..	..	..	..	..	..	..	..	..	..	1.54356509805617	..	5535912	70410634	35817544	34593090	36770052	18828563	17941489	2341570	3194343	22183201	112716598	56987677	55728922	..	..	..	..	..	..	64135744	..	48580854
El Salvador	SLV	..	..	..	12.5539526516317	37.5768970494129	..	..	4.60544302882029	..	..	..	..	15	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.0504390224814415	..	..	..	..	..	..	..	..	..	..	4.04554694222477	41.0989614343083	2870401	..	..	..	..	..	..	..	..	..	..	..	..	0.449575546018594	..	532237	4239597	1999772	2239825	1593109	818741	774367	211327	320910	1116052	6364943	3029841	3335102	..	..	..	..	..	..	1566222	..	4798721
Equatorial Guinea	GNQ	..	..	..	5.30644248806487	64.8790606731313	..	..	2.88492465346932	..	..	..	..	6	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-1.32034909725189	..	..	..	..	..	..	..	..	..	..	..	42.3495405134505	592618	..	..	..	..	..	..	..	..	..	..	..	..	2.34629870847474	..	53464	1007530	550006	457525	653676	329539	324137	24413	29051	474467	1714671	903958	810713	..	..	..	..	..	..	438133	..	1276538
Eritrea	ERI	..	..	..	7.03715804876959	67.4478439432697	..	..	..	..	..	..	..	8	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-1.79375612735748	..	..	..	..	..	..	..	..	..	..	..	46.8137614311995	1800336	..	..	..	..	..	..	..	..	..	..	..	..	1.74549257972489	..	151197	2148552	1054624	1093929	1449152	731702	717450	64197	87000	1072666	3748901	1850523	1898379	..	..	..	..	..	..	2126864	..	1622037
Estonia	EST	..	..	..	33.2725597260877	25.8868772112953	..	..	2.17244643978544	..	..	..	..	9	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1.2634699344635	..	..	..	..	..	..	..	93.1834	94.4063	91.8913	9.15922507983982	49.4695110038423	752419	..	..	..	..	..	..	..	..	..	..	..	..	1.27794159737588	..	285604	858377	433912	424466	222207	114135	108072	101264	184340	454245	1366188	649310	716878	..	..	..	..	..	..	412452	..	953736
Eswatini	SWZ	..	..	..	6.51926548697474	55.7618207088069	..	..	8.09076972672283	..	..	..	..	7	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-0.884958326816559	..	..	..	..	..	..	..	..	..	..	..	47.2277491693122	405086	..	..	..	..	..	..	..	..	..	..	..	..	0.758721181538574	..	48642	746127	372840	373286	416054	209066	206988	18143	30499	..	1210822	600049	610772	..	..	..	..	..	..	910659	..	300163
Ethiopia	ETH	..	..	..	5.48733343806964	68.2862887284828	..	..	35.7897991219755	..	..	..	..	8	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	-0.768662095069885	..	..	..	..	..	..	..	..	..	..	30.2188278135278	46.8068423760243	61664369	..	..	..	..	..	..	..	..	..	..	..	..	2.5187790536759	..	3995406	72811431	36394028	36417404	49720224	25350220	24370004	1801457	2193948	5460591	126527060	63545705	62981355	..	..	..	..	..	..	97227189	..	29299871
Faroe Islands	FRO	..	..	..	29.273667778764	33.7761317376266	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.338473433332776	..	9564	32671	17241	15430	11035	5655	5380	4674	4890	..	53270	27570	25700	..	..	..	..	..	..	30371	..	22899
Fiji	FJI	..	..	..	9.28996259534281	43.1242492211432	..	..	8.28692964588035	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.490778684616089	..	..	..	..	..	..	..	..	..	..	..	33.8080068832359	390514	..	..	..	..	..	..	..	..	..	..	..	..	0.708309568380842	..	57074	614362	309256	305106	264939	135290	129648	24944	32130	..	936375	469490	466885	..	..	..	..	..	..	386601	..	549774
Finland	FIN	..	..	..	38.4220504959223	24.2614477564198	..	..	2.53255290409725	..	..	..	..	11	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1.73860657215118	..	..	..	..	..	..	..	93.5139	92.6385	94.4155	6.25064322154763	48.4538080023835	2879817	..	..	..	..	..	..	..	..	..	..	..	..	0.505513909563998	..	1318873	3432594	1748453	1684140	832797	425898	406899	585596	733277	1337786	5584264	2759947	2824316	..	..	..	..	..	..	794473	..	4789791
France	FRA	..	..	..	36.0898634996208	27.9552457946767	..	..	1.92415539937926	..	..	..	..	13	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1.14462625980377	..	..	..	..	..	..	..	86.8364	86.2977	87.4247	4.87835726508441	49.029007315151	31825317	..	..	..	..	..	..	..	..	..	..	..	..	0.292221085514903	..	14997425	41555782	20485347	21070435	11617021	5937104	5679917	6505440	8491985	11208440	68170228	32927891	35242337	..	..	..	..	..	..	12422661	..	55747567
French Polynesia	PYF	..	..	..	15.4593747935951	30.2610845340202	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	43.76514594689	137413	..	..	..	..	..	..	..	..	..	..	..	..	0.843050034136393	..	32768	211962	106946	105016	64142	32994	31149	16101	16666	..	308872	156041	152831	..	..	..	..	..	..	116482	..	192390
